"","X","CYCLE","STEP","VOLTAGE","CELL"
"5726",8,9,260,0.995433789954338,1
"5735",17,18,260,0.995433789954338,1
"5740",22,23,260,0.996955859969559,1
"5743",25,26,260,0.996955859969559,1
"5755",37,38,260,0.984779299847793,1
"5770",52,53,260,0.986301369863014,1
"5774",56,57,260,0.986301369863014,1
"5789",71,72,260,0.987823439878234,1
"5803",85,86,260,0.992389649923896,1
"5804",86,87,260,0.980213089802131,1
"5816",98,99,260,1,1
"5829",111,112,260,0.980213089802131,1
"5833",115,116,260,0.980213089802131,1
"5853",135,136,260,0.981735159817352,1
"5859",141,142,260,0.974124809741248,1
"5867",149,150,260,0.980213089802131,1
"5871",153,154,260,0.97869101978691,1
"5874",156,157,260,0.971080669710807,1
"5880",162,163,260,0.987823439878234,1
"5897",179,180,260,0.974124809741248,1
"5907",189,190,260,0.975646879756469,1
"5949",231,232,260,0.975646879756469,1
"5959",241,242,260,0.989345509893455,1
"5972",254,255,260,0.968036529680365,1
"5995",277,278,260,0.977168949771689,1
"5996",278,279,260,0.983257229832572,1
"6008",290,291,260,0.974124809741248,1
"6009",291,292,260,0.977168949771689,1
"6013",295,296,260,0.968036529680365,1
"6018",300,301,260,0.975646879756469,1
"6021",303,304,260,0.966514459665145,1
"6026",308,309,260,0.969558599695586,1
"6044",326,327,260,0.974124809741248,1
"6046",328,329,260,0.972602739726027,1
"6092",374,375,260,0.971080669710807,1
"6097",379,380,260,0.968036529680365,1
"6098",380,381,260,0.972602739726027,1
"6109",391,392,260,0.974124809741248,1
"6112",394,395,260,0.966514459665145,1
"6120",402,403,260,0.974124809741248,1
"6122",404,405,260,0.966514459665145,1
"6160",442,443,260,0.971080669710807,1
"6167",449,450,260,0.972602739726027,1
"6171",453,454,260,0.964992389649924,1
"6179",461,462,260,0.963470319634703,1
"6200",482,483,260,0.963470319634703,1
"6203",485,486,260,0.961948249619482,1
"6209",491,492,260,0.961948249619482,1
"6231",513,514,260,0.954337899543379,1
"6247",529,530,260,0.960426179604262,1
"6251",533,534,260,0.960426179604262,1
"6259",541,542,260,0.968036529680365,1
"6265",547,548,260,0.963470319634703,1
"6268",550,551,260,0.961948249619482,1
"6273",555,556,260,0.960426179604262,1
"6276",558,559,260,0.958904109589041,1
"6279",561,562,260,0.961948249619482,1
"6280",562,563,260,0.958904109589041,1
"6291",573,574,260,0.9558599695586,1
"6307",589,590,260,0.95738203957382,1
"6308",590,591,260,0.958904109589041,1
"6338",620,621,260,0.960426179604262,1
"6359",641,642,260,0.954337899543379,1
"6361",643,644,260,0.958904109589041,1
"6384",666,667,260,0.946727549467275,1
"6386",668,669,260,0.952815829528158,1
"6397",679,680,260,0.95738203957382,1
"6400",682,683,260,0.949771689497717,1
"6401",683,684,260,0.95738203957382,1
"6409",691,692,260,0.95738203957382,1
"6413",695,696,260,0.954337899543379,1
"6414",696,697,260,0.964992389649924,1
"6434",716,717,260,0.951293759512938,1
"6436",718,719,260,0.971080669710807,1
"6439",721,722,260,0.969558599695586,1
"6450",732,733,260,0.964992389649924,1
"6464",746,747,260,0.963470319634703,1
"6468",750,751,260,0.968036529680365,1
"6480",762,763,260,0.958904109589041,1
"6486",768,769,260,0.964992389649924,1
"6500",782,783,260,0.958904109589041,1
"6517",799,800,260,0.95738203957382,1
"6527",809,810,260,0.951293759512938,1
"6538",820,821,260,0.968036529680365,1
"6540",822,823,260,0.961948249619482,1
"6541",823,824,260,0.960426179604262,1
"6549",831,832,260,0.960426179604262,1
"6555",837,838,260,0.954337899543379,1
"6562",844,845,260,0.954337899543379,1
"6563",845,846,260,0.964992389649924,1
"6574",856,857,260,0.961948249619482,1
"6575",857,858,260,0.968036529680365,1
"6579",861,862,260,0.952815829528158,1
"6599",881,882,260,0.9558599695586,1
"6618",900,901,260,0.954337899543379,1
"6625",907,908,260,0.9558599695586,1
"6652",934,935,260,0.939117199391172,1
"6662",944,945,260,0.942161339421613,1
"6664",946,947,260,0.954337899543379,1
"6682",964,965,260,0.949771689497717,1
"6711",993,994,260,0.942161339421613,1
"6723",1005,1006,260,0.945205479452055,1
"6727",1009,1010,260,0.951293759512938,1
"6754",1036,1037,260,0.945205479452055,1
"6766",1048,1049,260,0.943683409436834,1
"6767",1049,1050,260,0.942161339421613,1
"6779",1061,1062,260,0.945205479452055,1
"6796",1078,1079,260,0.945205479452055,1
"6811",1093,1094,260,0.946727549467275,1
"6812",1094,1095,260,0.952815829528158,1
"6814",1096,1097,260,0.943683409436834,1
"6831",1113,1114,260,0.943683409436834,1
"6842",1124,1125,260,0.939117199391172,1
"6859",1141,1142,260,0.937595129375951,1
"6886",1168,1169,260,0.925418569254186,1
"6939",1221,1222,260,0.93455098934551,1
"6954",1236,1237,260,0.943683409436834,1
"6965",1247,1248,260,0.933028919330289,1
"6967",1249,1250,260,0.93455098934551,1
"6992",1274,1275,260,0.931506849315068,1
"7012",1294,1295,260,0.93607305936073,1
"7023",1305,1306,260,0.920852359208523,1
"7037",1319,1320,260,0.923896499238965,1
"7077",1359,1360,260,0.926940639269406,1
"7081",1363,1364,260,0.925418569254186,1
"7087",1369,1370,260,0.929984779299848,1
"7102",1384,1385,260,0.933028919330289,1
"7103",1385,1386,260,0.928462709284627,1
"7126",1408,1409,260,0.929984779299848,1
"7131",1413,1414,260,0.929984779299848,1
"7133",1415,1416,260,0.923896499238965,1
"7139",1421,1422,260,0.929984779299848,1
"7142",1424,1425,260,0.925418569254186,1
"7169",1451,1452,260,0.931506849315068,1
"7180",1462,1463,260,0.931506849315068,1
"7208",1490,1491,260,0.93455098934551,1
"7213",1495,1496,260,0.939117199391172,1
"7226",1508,1509,260,0.93607305936073,1
"7234",1516,1517,260,0.933028919330289,1
"7235",1517,1518,260,0.931506849315068,1
"7237",1519,1520,260,0.933028919330289,1
"7239",1521,1522,260,0.939117199391172,1
"7241",1523,1524,260,0.93607305936073,1
"7242",1524,1525,260,0.93455098934551,1
"7247",1529,1530,260,0.942161339421613,1
"7254",1536,1537,260,0.93455098934551,1
"7263",1545,1546,260,0.937595129375951,1
"7282",1564,1565,260,0.95738203957382,1
"7326",1608,1609,260,0.945205479452055,1
"7328",1610,1611,260,0.942161339421613,1
"7340",1622,1623,260,0.943683409436834,1
"7372",1654,1655,260,0.948249619482496,1
"7374",1656,1657,260,0.940639269406393,1
"7378",1660,1661,260,0.946727549467275,1
"7383",1665,1666,260,0.951293759512938,1
"7385",1667,1668,260,0.946727549467275,1
"7413",1695,1696,260,0.945205479452055,1
"7416",1698,1699,260,0.961948249619482,1
"7419",1701,1702,260,0.946727549467275,1
"7444",1726,1727,260,0.943683409436834,1
"7450",1732,1733,260,0.952815829528158,1
"7461",1743,1744,260,0.939117199391172,1
"7474",1756,1757,260,0.949771689497717,1
"7485",1767,1768,260,0.942161339421613,1
"7512",1794,1795,260,0.937595129375951,1
"7521",1803,1804,260,0.93455098934551,1
"7523",1805,1806,260,0.937595129375951,1
"7544",1826,1827,260,0.93455098934551,1
"7548",1830,1831,260,0.93455098934551,1
"7552",1834,1835,260,0.945205479452055,1
"7557",1839,1840,260,0.939117199391172,1
"7563",1845,1846,260,0.93607305936073,1
"7564",1846,1847,260,0.939117199391172,1
"7576",1858,1859,260,0.93607305936073,1
"7581",1863,1864,260,0.93607305936073,1
"7590",1872,1873,260,0.940639269406393,1
"7611",1893,1894,260,0.939117199391172,1
"7625",1907,1908,260,0.93455098934551,1
"7633",1915,1916,260,0.93607305936073,1
"7643",1925,1926,260,0.939117199391172,1
"7649",1931,1932,260,0.93607305936073,1
"7651",1933,1934,260,0.942161339421613,1
"7656",1938,1939,260,0.943683409436834,1
"7681",1963,1964,260,0.942161339421613,1
"7686",1968,1969,260,0.954337899543379,1
"7689",1971,1972,260,0.940639269406393,1
"7691",1973,1974,260,0.954337899543379,1
"7701",1983,1984,260,0.946727549467275,1
"7710",1992,1993,260,0.942161339421613,1
"7723",2005,2006,260,0.943683409436834,1
"7759",2041,2042,260,0.946727549467275,1
"7762",2044,2045,260,0.940639269406393,1
"7765",2047,2048,260,0.943683409436834,1
"7769",2051,2052,260,0.954337899543379,1
"7776",2058,2059,260,0.946727549467275,1
"7793",2075,2076,260,0.949771689497717,1
"7794",2076,2077,260,0.949771689497717,1
"7832",2114,2115,260,0.943683409436834,1
"7833",2115,2116,260,0.946727549467275,1
"7840",2122,2123,260,0.9558599695586,1
"7844",2126,2127,260,0.946727549467275,1
"7851",2133,2134,260,0.946727549467275,1
"7889",2171,2172,260,0.946727549467275,1
"7906",2188,2189,260,0.946727549467275,1
"7913",2195,2196,260,0.948249619482496,1
"7918",2200,2201,260,0.949771689497717,1
"7934",2216,2217,260,0.958904109589041,1
"7939",2221,2222,260,0.9558599695586,1
"7958",2240,2241,260,0.925418569254186,1
"7975",2257,2258,260,0.907153729071537,1
"7981",2263,2264,260,0.911719939117199,1
"8001",2283,2284,260,0.907153729071537,1
"8002",2284,2285,260,0.907153729071537,1
"8006",2288,2289,260,0.904109589041096,1
"8022",2304,2305,260,0.898021308980213,1
"8030",2312,2313,260,0.887366818873668,1
"8053",2335,2336,260,0.875190258751902,1
"8059",2341,2342,260,0.876712328767123,1
"8074",2356,2357,260,0.954337899543379,1
"8078",2360,2361,260,0.951293759512938,1
"8082",2364,2365,260,0.954337899543379,1
"8084",2366,2367,260,0.951293759512938,1
"8115",2397,2398,260,0.940639269406393,1
"8122",2404,2405,260,0.946727549467275,1
"8144",2426,2427,260,0.93607305936073,1
"8151",2433,2434,260,0.937595129375951,1
"8152",2434,2435,260,0.93607305936073,1
"8205",2487,2488,260,0.933028919330289,1
"8209",2491,2492,260,0.93607305936073,1
"8213",2495,2496,260,0.933028919330289,1
"8217",2499,2500,260,0.937595129375951,1
"8219",2501,2502,260,0.939117199391172,1
"8227",2509,2510,260,0.937595129375951,1
"8236",2518,2519,260,0.93607305936073,1
"8245",2527,2528,260,0.93607305936073,1
"8248",2530,2531,260,0.937595129375951,1
"8249",2531,2532,260,0.940639269406393,1
"8252",2534,2535,260,0.937595129375951,1
"8267",2549,2550,260,0.945205479452055,1
"8268",2550,2551,260,0.939117199391172,1
"8294",2576,2577,260,0.948249619482496,1
"8297",2579,2580,260,0.948249619482496,1
"8318",2600,2601,260,0.95738203957382,1
"8320",2602,2603,260,0.954337899543379,1
"8328",2610,2611,260,0.960426179604262,1
"8342",2624,2625,260,0.95738203957382,1
"8365",2647,2648,260,0.964992389649924,1
"8368",2650,2651,260,0.960426179604262,1
"8379",2661,2662,260,0.960426179604262,1
"8380",2662,2663,260,0.961948249619482,1
"8383",2665,2666,260,0.961948249619482,1
"8395",2677,2678,260,0.972602739726027,1
"8396",2678,2679,260,0.961948249619482,1
"8399",2681,2682,260,0.968036529680365,1
"8400",2682,2683,260,0.972602739726027,1
"8404",2686,2687,260,0.966514459665145,1
"8450",2732,2733,260,0.960426179604262,1
"8457",2739,2740,260,0.960426179604262,1
"8458",2740,2741,260,0.971080669710807,1
"8466",2748,2749,260,0.958904109589041,1
"8471",2753,2754,260,0.958904109589041,1
"8478",2760,2761,260,0.95738203957382,1
"8480",2762,2763,260,0.961948249619482,1
"8490",2772,2773,260,0.961948249619482,1
"8504",2786,2787,260,0.961948249619482,1
"8514",2796,2797,260,0.943683409436834,1
"8526",2808,2809,260,0.907153729071537,1
"8542",2824,2825,260,0.942161339421613,1
"8546",2828,2829,260,0.945205479452055,1
"8596",2878,2879,260,0.945205479452055,1
"8599",2881,2882,260,0.954337899543379,1
"8604",2886,2887,260,0.954337899543379,1
"8629",2911,2912,260,0.951293759512938,1
"8631",2913,2914,260,0.960426179604262,1
"8640",2922,2923,260,0.9558599695586,1
"8641",2923,2924,260,0.95738203957382,1
"8642",2924,2925,260,0.952815829528158,1
"8645",2927,2928,260,0.952815829528158,1
"8654",2936,2937,260,0.954337899543379,1
"8684",2966,2967,260,0.9558599695586,1
"8685",2967,2968,260,0.954337899543379,1
"8686",2968,2969,260,0.951293759512938,1
"8690",2972,2973,260,0.951293759512938,1
"8694",2976,2977,260,0.949771689497717,1
"8695",2977,2978,260,0.949771689497717,1
"8707",2989,2990,260,0.952815829528158,1
"8711",2993,2994,260,0.951293759512938,1
"8712",2994,2995,260,0.952815829528158,1
"8734",3016,3017,260,0.945205479452055,1
"8743",3025,3026,260,0.949771689497717,1
"8763",3045,3046,260,0.931506849315068,1
"8778",3060,3061,260,0.939117199391172,1
"8793",3075,3076,260,0.939117199391172,1
"8798",3080,3081,260,0.940639269406393,1
"8808",3090,3091,260,0.943683409436834,1
"8816",3098,3099,260,0.943683409436834,1
"8828",3110,3111,260,0.940639269406393,1
"8838",3120,3121,260,0.948249619482496,1
"8850",3132,3133,260,0.931506849315068,1
"8858",3140,3141,260,0.931506849315068,1
"8862",3144,3145,260,0.933028919330289,1
"8892",3174,3175,260,0.928462709284627,1
"8910",3192,3193,260,0.928462709284627,1
"8912",3194,3195,260,0.93455098934551,1
"8924",3206,3207,260,0.939117199391172,1
"8938",3220,3221,260,0.945205479452055,1
"8939",3221,3222,260,0.939117199391172,1
"8954",3236,3237,260,0.940639269406393,1
"8974",3256,3257,260,0.943683409436834,1
"8981",3263,3264,260,0.943683409436834,1
"8986",3268,3269,260,0.943683409436834,1
"9004",3286,3287,260,0.939117199391172,1
"9009",3291,3292,260,0.939117199391172,1
"9014",3296,3297,260,0.948249619482496,1
"9023",3305,3306,260,0.939117199391172,1
"9045",3327,3328,260,0.943683409436834,1
"9058",3340,3341,260,0.939117199391172,1
"9099",3381,3382,260,0.946727549467275,1
"9101",3383,3384,260,0.943683409436834,1
"9102",3384,3385,260,0.948249619482496,1
"9106",3388,3389,260,0.946727549467275,1
